Labels,77K,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.884E+4,
1401.000,3.922E+4,
1402.05000,3.882E+4,
1403.1000,3.911E+4,
1404.15000,3.906E+4,
1405.2000,3.892E+4,
1406.25000,3.881E+4,
1407.3000,3.893E+4,
1408.35000,3.873E+4,
1409.4000,3.984E+4,
1410.45000,3.917E+4,
1411.5000,3.943E+4,
1412.55000,3.949E+4,
1413.6000,4.006E+4,
1414.65000,3.930E+4,
1415.7000,3.893E+4,
1416.75000,3.878E+4,
1417.8000,3.980E+4,
1418.85000,3.927E+4,
1419.9000,3.900E+4,
1420.95000,3.867E+4,
1422.000,3.863E+4,
1423.05000,3.848E+4,
1424.1000,3.889E+4,
1425.15000,3.922E+4,
1426.2000,3.871E+4,
1427.25000,3.871E+4,
1428.3000,3.898E+4,
1429.35000,3.894E+4,
1430.4000,3.876E+4,
1431.45000,3.887E+4,
1432.5000,3.906E+4,
1433.55000,3.912E+4,
1434.6000,3.879E+4,
1435.65000,3.918E+4,
1436.7000,3.905E+4,
1437.75000,3.914E+4,
1438.8000,3.939E+4,
1439.85000,3.908E+4,
1440.9000,3.941E+4,
1441.95000,3.931E+4,
1443.000,3.875E+4,
1444.05000,3.892E+4,
1445.1000,3.907E+4,
1446.15000,3.874E+4,
1447.2000,3.876E+4,
1448.25000,3.874E+4,
1449.3000,3.913E+4,
1450.35000,3.897E+4,
1451.4000,3.879E+4,
1452.45000,3.915E+4,
1453.5000,3.904E+4,
1454.55000,3.901E+4,
1455.6000,3.855E+4,
1456.65000,3.812E+4,
1457.7000,3.883E+4,
1458.75000,3.856E+4,
1459.8000,3.875E+4,
1460.85000,3.901E+4,
1461.9000,3.865E+4,
1462.95000,3.848E+4,
1464.000,3.845E+4,
1465.05000,3.830E+4,
1466.1000,3.820E+4,
1467.15000,3.876E+4,
1468.2000,3.846E+4,
1469.25000,3.853E+4,
1470.3000,3.872E+4,
1471.35000,3.857E+4,
1472.4000,3.865E+4,
1473.45000,3.907E+4,
1474.5000,3.902E+4,
1475.55000,3.954E+4,
1476.6000,3.930E+4,
1477.65000,3.901E+4,
1478.7000,3.879E+4,
1479.75000,3.920E+4,
1480.8000,3.902E+4,
1481.85000,3.923E+4,
1482.9000,3.821E+4,
1483.95000,3.876E+4,
1485.000,3.941E+4,
1486.05000,3.927E+4,
1487.1000,3.893E+4,
1488.15000,3.891E+4,
1489.2000,3.932E+4,
1490.25000,3.955E+4,
1491.3000,3.875E+4,
1492.35000,3.954E+4,
1493.4000,3.963E+4,
1494.45000,3.983E+4,
1495.5000,3.955E+4,
1496.55000,3.974E+4,
1497.6000,3.977E+4,
1498.65000,4.015E+4,
1499.7000,3.958E+4,
1500.75000,3.965E+4,
1501.8000,3.952E+4,
1502.85000,4.008E+4,
1503.9000,3.993E+4,
1504.95000,4.004E+4,
1506.000,4.066E+4,
1507.05000,4.039E+4,
1508.1000,4.068E+4,
1509.15000,4.039E+4,
1510.2000,4.029E+4,
1511.25000,4.014E+4,
1512.3000,4.052E+4,
1513.35000,4.075E+4,
1514.4000,4.141E+4,
1515.45000,4.148E+4,
1516.5000,4.215E+4,
1517.55000,4.290E+4,
1518.6000,4.364E+4,
1519.65000,4.490E+4,
1520.7000,4.611E+4,
1521.75000,4.732E+4,
1522.8000,4.913E+4,
1523.85000,5.086E+4,
1524.9000,5.311E+4,
1525.95000,5.617E+4,
1527.000,5.973E+4,
1528.05000,6.368E+4,
1529.1000,6.658E+4,
1530.15000,7.242E+4,
1531.2000,8.280E+4,
1532.25000,9.967E+4,
1533.3000,1.208E+5,
1534.35000,1.327E+5,
1535.4000,1.343E+5,
1536.45000,1.184E+5,
1537.5000,9.741E+4,
1538.55000,8.748E+4,
1539.6000,9.205E+4,
1540.65000,9.950E+4,
1541.7000,1.020E+5,
1542.75000,9.985E+4,
1543.8000,9.315E+4,
1544.85000,8.599E+4,
1545.9000,7.867E+4,
1546.95000,7.364E+4,
1548.000,7.087E+4,
1549.05000,6.829E+4,
1550.1000,6.594E+4,
1551.15000,6.313E+4,
1552.2000,5.945E+4,
1553.25000,5.792E+4,
1554.3000,5.567E+4,
1555.35000,5.427E+4,
1556.4000,5.283E+4,
1557.45000,5.279E+4,
1558.5000,5.222E+4,
1559.55000,5.058E+4,
1560.6000,5.033E+4,
1561.65000,4.945E+4,
1562.7000,4.853E+4,
1563.75000,4.796E+4,
1564.8000,4.734E+4,
1565.85000,4.655E+4,
1566.9000,4.569E+4,
1567.95000,4.529E+4,
1569.000,4.516E+4,
1570.05000,4.416E+4,
1571.1000,4.404E+4,
1572.15000,4.355E+4,
1573.2000,4.300E+4,
1574.25000,4.302E+4,
1575.3000,4.296E+4,
1576.35000,4.328E+4,
1577.4000,4.289E+4,
1578.45000,4.240E+4,
1579.5000,4.226E+4,
1580.55000,4.237E+4,
1581.6000,4.244E+4,
1582.65000,4.201E+4,
1583.7000,4.213E+4,
1584.75000,4.211E+4,
1585.8000,4.189E+4,
1586.85000,4.181E+4,
1587.9000,4.173E+4,
1588.95000,4.218E+4,
1590.00,4.208E+4,
1591.05000,4.159E+4,
1592.1000,4.168E+4,
1593.15000,4.219E+4,
1594.2000,4.190E+4,
1595.25000,4.194E+4,
1596.3000,4.169E+4,
1597.35000,4.181E+4,
1598.4000,4.242E+4,
1599.45000,4.163E+4,
1600.5000,4.198E+4,
1601.55000,4.191E+4,
1602.6000,4.190E+4,
1603.65000,4.227E+4,
1604.7000,4.154E+4,
1605.75000,4.178E+4,
1606.8000,4.231E+4,
1607.85000,4.214E+4,
1608.9000,4.205E+4,
1609.95000,4.196E+4,
1611.000,4.206E+4,
1612.05000,4.247E+4,
1613.1000,4.170E+4,
1614.15000,4.236E+4,
1615.2000,4.234E+4,
1616.25000,4.183E+4,
1617.3000,4.204E+4,
1618.35000,4.177E+4,
1619.4000,4.211E+4,
1620.45000,4.161E+4,
1621.5000,4.205E+4,
1622.55000,4.093E+4,
1623.6000,4.102E+4,
1624.65000,4.043E+4,
1625.7000,4.069E+4,
1626.75000,4.118E+4,
1627.8000,4.096E+4,
1628.85000,4.052E+4,
1629.9000,4.048E+4,
1630.95000,4.013E+4,
1632.000,3.994E+4,
1633.05000,4.004E+4,
1634.1000,3.919E+4,
1635.15000,3.984E+4,
1636.2000,3.983E+4,
1637.25000,3.924E+4,
1638.3000,3.886E+4,
1639.35000,3.908E+4,
1640.4000,3.916E+4,
1641.45000,3.871E+4,
1642.5000,3.889E+4,
1643.55000,3.894E+4,
1644.6000,3.857E+4,
1645.65000,3.866E+4,
1646.7000,3.848E+4,
1647.75000,3.891E+4,
1648.8000,3.883E+4,
1649.85000,3.869E+4,
1650.9000,3.870E+4,
1651.95000,3.847E+4,
1653.000,3.821E+4,
1654.05000,3.844E+4,
1655.1000,3.773E+4,
1656.15000,3.841E+4,
1657.2000,3.825E+4,
1658.25000,3.827E+4,
1659.3000,3.796E+4,
1660.35000,3.861E+4,
1661.4000,3.852E+4,
1662.45000,3.821E+4,
1663.5000,3.795E+4,
1664.55000,3.783E+4,
1665.6000,3.818E+4,
1666.65000,3.817E+4,
1667.7000,3.790E+4,
1668.75000,3.806E+4,
1669.8000,3.826E+4,
1670.85000,3.829E+4,
1671.9000,3.798E+4,
1672.95000,3.820E+4,
1674.000,3.824E+4,
1675.05000,3.874E+4,
1676.1000,3.846E+4,
1677.15000,3.814E+4,
1678.2000,3.789E+4,
1679.25000,3.854E+4,
1680.3000,3.895E+4,
1681.35000,3.826E+4,
1682.4000,3.838E+4,
1683.45000,3.847E+4,
1684.5000,3.844E+4,
1685.55000,3.799E+4,
1686.6000,3.839E+4,
1687.65000,3.846E+4,
1688.7000,3.783E+4,
1689.75000,3.820E+4,
1690.8000,3.808E+4,
1691.85000,3.757E+4,
1692.9000,3.811E+4,
1693.95000,3.848E+4,
1695.000,3.808E+4,
1696.05000,3.817E+4,
1697.1000,3.826E+4,
1698.15000,3.830E+4,
1699.2000,3.769E+4,
1700.25000,3.845E+4,
